Gene 1	Gene 2	Weight	Network group	Network
BRCA2	MRE11A	0.015972575	Co-expression	Alizadeh-Staudt-2000
LIG1	BLM	0.014503101	Co-expression	Alizadeh-Staudt-2000
PMS1	MRE11A	0.013275101	Co-expression	Alizadeh-Staudt-2000
PMS1	BLM	0.017564004	Co-expression	Alizadeh-Staudt-2000
PCNA	RAD51AP1	0.0077311057	Co-expression	Wang-Cheung-2015
PCNA	RAD54B	0.009220297	Co-expression	Wang-Cheung-2015
PCNA	RAD51	0.012277506	Co-expression	Wang-Cheung-2015
PCNA	MLH1	0.0075337463	Co-expression	Wang-Cheung-2015
RAD51C	MLH1	0.014887362	Co-expression	Wang-Cheung-2015
RAD51C	PCNA	0.009099438	Co-expression	Wang-Cheung-2015
FEN1	RAD51AP1	0.005509389	Co-expression	Wang-Cheung-2015
FEN1	RAD54B	0.00733622	Co-expression	Wang-Cheung-2015
FEN1	RAD51	0.010585654	Co-expression	Wang-Cheung-2015
FEN1	PCNA	0.005419004	Co-expression	Wang-Cheung-2015
BRCA2	MLH1	0.016227784	Co-expression	Wang-Cheung-2015
BRCA2	FEN1	0.008725371	Co-expression	Wang-Cheung-2015
BLM	RAD51AP1	0.012136777	Co-expression	Wang-Cheung-2015
BLM	RAD51	0.02425997	Co-expression	Wang-Cheung-2015
BLM	PCNA	0.011853394	Co-expression	Wang-Cheung-2015
BLM	FEN1	0.01035819	Co-expression	Wang-Cheung-2015
PALB2	RAD54B	0.0067129573	Co-expression	Wang-Cheung-2015
PMS1	MSH6	0.0067780707	Co-expression	Wang-Cheung-2015
PMS1	NBN	0.00729473	Co-expression	Wang-Cheung-2015
MSH6	RAD51AP1	0.014419247	Co-expression	Rieger-Chu-2004
MSH2	RAD51AP1	0.004478335	Co-expression	Rieger-Chu-2004
MSH2	MSH6	0.010679489	Co-expression	Rieger-Chu-2004
RAD51	MSH2	0.0066423453	Co-expression	Rieger-Chu-2004
RAD51C	PCNA	0.017635025	Co-expression	Rieger-Chu-2004
RAD51D	XRCC2	0.022812415	Co-expression	Rieger-Chu-2004
FEN1	RAD51AP1	0.0038804694	Co-expression	Rieger-Chu-2004
FEN1	MSH2	0.0034462316	Co-expression	Rieger-Chu-2004
FEN1	RAD51B	0.00604564	Co-expression	Rieger-Chu-2004
BLM	MSH2	0.0055328645	Co-expression	Rieger-Chu-2004
LIG1	RAD51	0.013958051	Co-expression	Rieger-Chu-2004
LIG1	PCNA	0.012874835	Co-expression	Rieger-Chu-2004
LIG1	RAD51C	0.015012889	Co-expression	Rieger-Chu-2004
RFC1	RAD51AP1	0.010548502	Co-expression	Rieger-Chu-2004
PMS1	MSH2	0.008244147	Co-expression	Rieger-Chu-2004
RAD51	XRCC3	0.013464309	Co-expression	Chen-Brown-2002
PCNA	RAD51	0.009647468	Co-expression	Chen-Brown-2002
RAD51C	PCNA	0.0055541107	Co-expression	Chen-Brown-2002
RAD51D	XRCC3	0.011968065	Co-expression	Chen-Brown-2002
FEN1	MLH1	0.0049244477	Co-expression	Chen-Brown-2002
FEN1	PCNA	0.0032246604	Co-expression	Chen-Brown-2002
FEN1	RAD51C	0.0035707387	Co-expression	Chen-Brown-2002
FEN1	RAD51D	0.0046987208	Co-expression	Chen-Brown-2002
MSH2	MSH6	0.016528148	Co-expression	Wang-Maris-2006
PCNA	RAD51AP1	0.00803289	Co-expression	Wang-Maris-2006
PCNA	MSH2	0.00826907	Co-expression	Wang-Maris-2006
RAD51C	RAD51AP1	0.013071338	Co-expression	Wang-Maris-2006
RAD51C	PCNA	0.008939222	Co-expression	Wang-Maris-2006
FEN1	PCNA	0.0054832785	Co-expression	Wang-Maris-2006
FEN1	RAD51C	0.0078020734	Co-expression	Wang-Maris-2006
FEN1	RAD51B	0.008788989	Co-expression	Wang-Maris-2006
BRCA2	RAD51AP1	0.010390178	Co-expression	Wang-Maris-2006
BRCA2	PCNA	0.0075959256	Co-expression	Wang-Maris-2006
BLM	RAD51	0.015280711	Co-expression	Wang-Maris-2006
BLM	FEN1	0.0077265305	Co-expression	Wang-Maris-2006
BLM	BRCA2	0.011240382	Co-expression	Wang-Maris-2006
LIG1	MSH2	0.0068011666	Co-expression	Wang-Maris-2006
LIG1	RAD51B	0.01050274	Co-expression	Wang-Maris-2006
LIG1	BRCA2	0.006929384	Co-expression	Wang-Maris-2006
LIG1	BLM	0.007920321	Co-expression	Wang-Maris-2006
MED6	BRCA2	0.011942617	Co-expression	Wang-Maris-2006
PMS1	RAD51D	0.015536962	Co-expression	Wang-Maris-2006
MBD4	BRCA2	0.0121444	Co-expression	Wang-Maris-2006
MSH2	MSH6	0.55178285	Co-localization	Chen-Huang-2014
MLH1	MSH2	0.3871396	Co-localization	Chen-Huang-2014
XRCC3	XRCC2	0.016430777	Co-localization	Johnson-Shoemaker-2003
MRE11A	RAD54B	0.0039291377	Co-localization	Johnson-Shoemaker-2003
MRE11A	MSH6	0.0067351954	Co-localization	Johnson-Shoemaker-2003
MSH2	RAD54B	0.0070108008	Co-localization	Johnson-Shoemaker-2003
MSH2	MRE11A	0.0023611563	Co-localization	Johnson-Shoemaker-2003
RAD51	RAD51AP1	0.014900287	Co-localization	Johnson-Shoemaker-2003
MLH1	MRE11A	0.0052611036	Co-localization	Johnson-Shoemaker-2003
MLH1	MSH2	0.0089009935	Co-localization	Johnson-Shoemaker-2003
PCNA	RAD51AP1	0.0055432543	Co-localization	Johnson-Shoemaker-2003
PCNA	MSH6	0.010919154	Co-localization	Johnson-Shoemaker-2003
PCNA	RAD51	0.010310396	Co-localization	Johnson-Shoemaker-2003
RAD51C	RAD51AP1	0.005562077	Co-localization	Johnson-Shoemaker-2003
FEN1	MRE11A	0.003097692	Co-localization	Johnson-Shoemaker-2003
MUTYH	XRCC2	0.009632427	Co-localization	Johnson-Shoemaker-2003
BRCA2	XRCC2	0.0091034025	Co-localization	Johnson-Shoemaker-2003
BRCA2	MRE11A	0.0040560593	Co-localization	Johnson-Shoemaker-2003
BRCA2	FEN1	0.01018286	Co-localization	Johnson-Shoemaker-2003
BLM	RAD54B	0.015011758	Co-localization	Johnson-Shoemaker-2003
BLM	XRCC2	0.01391935	Co-localization	Johnson-Shoemaker-2003
BLM	MRE11A	0.0053743403	Co-localization	Johnson-Shoemaker-2003
BLM	MSH2	0.009224087	Co-localization	Johnson-Shoemaker-2003
BLM	BRCA2	0.017093683	Co-localization	Johnson-Shoemaker-2003
RFC1	PCNA	0.006669388	Co-localization	Johnson-Shoemaker-2003
RFC1	NBN	0.01769439	Co-localization	Johnson-Shoemaker-2003
MED6	MLH1	0.015286886	Co-localization	Johnson-Shoemaker-2003
PMS1	MRE11A	0.005973471	Co-localization	Johnson-Shoemaker-2003
PMS1	MSH2	0.010735745	Co-localization	Johnson-Shoemaker-2003
PMS1	MLH1	0.025523609	Co-localization	Johnson-Shoemaker-2003
MLH1	MSH2	0.014582656	Co-localization	Schadt-Shoemaker-2004
BLM	MSH2	0.0066086105	Co-localization	Schadt-Shoemaker-2004
BLM	MLH1	0.0071238624	Co-localization	Schadt-Shoemaker-2004
BLM	BRCA2	0.0069789086	Co-localization	Schadt-Shoemaker-2004
LIG1	BRCA2	0.008549509	Co-localization	Schadt-Shoemaker-2004
LIG1	BLM	0.006817342	Co-localization	Schadt-Shoemaker-2004
PMS1	MSH2	0.013980062	Co-localization	Schadt-Shoemaker-2004
PMS1	MLH1	0.013477192	Co-localization	Schadt-Shoemaker-2004
PMS1	BRCA2	0.006483832	Co-localization	Schadt-Shoemaker-2004
PMS1	BLM	0.007196923	Co-localization	Schadt-Shoemaker-2004
MSH6	RAD54B	0.0023149955	Genetic Interactions	Lin-Smith-2010
PCNA	MLH1	0.0010429058	Genetic Interactions	Lin-Smith-2010
PMS2	PCNA	0.0012413593	Genetic Interactions	Lin-Smith-2010
MSH3	XRCC2	0.0020417552	Genetic Interactions	Lin-Smith-2010
RAD51B	RAD51	0.002086699	Genetic Interactions	Lin-Smith-2010
FEN1	RAD50	0.0030858065	Genetic Interactions	Lin-Smith-2010
FEN1	RAD51	0.0030716134	Genetic Interactions	Lin-Smith-2010
FEN1	RAD51B	0.00044775248	Genetic Interactions	Lin-Smith-2010
RFC1	MSH3	0.0015745184	Genetic Interactions	Lin-Smith-2010
MED6	DMC1	0.003113496	Genetic Interactions	Lin-Smith-2010
MED6	XRCC2	0.0014439531	Genetic Interactions	Lin-Smith-2010
MED6	RAD51D	0.0070933127	Genetic Interactions	Lin-Smith-2010
MED6	RFC1	0.0011135178	Genetic Interactions	Lin-Smith-2010
MRE11A	RAD50	0.057332635	Pathway	NCI_NATURE
PCNA	RAD51	0.3670512	Pathway	NCI_NATURE
NBN	RAD50	0.04987142	Pathway	NCI_NATURE
NBN	MRE11A	0.044333927	Pathway	NCI_NATURE
BRCA2	XRCC3	0.34045166	Pathway	NCI_NATURE
BRCA2	RAD51	0.26038256	Pathway	NCI_NATURE
PALB2	BRCA2	0.32751948	Pathway	NCI_NATURE
DMC1	RAD51AP1	0.43167973	Physical Interactions	IREF-SMALL-SCALE-STUDIES
DMC1	RAD54B	0.35725105	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD50	MSH6	0.029211108	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MRE11A	MSH6	0.027338289	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MRE11A	RAD50	0.02525392	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH2	MSH6	0.023447005	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH2	RAD50	0.02165932	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH2	MRE11A	0.020270672	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	RAD51AP1	0.074320905	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	RAD54B	0.061506767	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	DMC1	0.043873943	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	XRCC2	0.04481253	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	XRCC3	0.035412986	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	MSH6	0.015455151	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51	MSH2	0.011459617	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MLH1	MSH6	0.007846055	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MLH1	RAD50	0.0072478433	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MLH1	MRE11A	0.0067831604	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MLH1	MSH2	0.0058176573	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PCNA	MSH6	0.00711963	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PCNA	MSH2	0.005279031	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PCNA	MLH1	0.0017665185	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS2	MSH6	0.024202187	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS2	MSH2	0.017945329	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS2	MLH1	0.0060050325	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS2	PCNA	0.0054490585	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51C	XRCC2	0.19447283	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51C	XRCC3	0.15368164	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51C	RAD51	0.032780495	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51AP2	RAD51	0.24772166	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51D	XRCC2	0.15555178	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51D	XRCC3	0.12292438	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51D	RAD51	0.02621993	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51D	RAD51C	0.11378656	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH3	MSH2	0.047691308	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH3	PCNA	0.014481358	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH3	PMS2	0.049227353	Physical Interactions	IREF-SMALL-SCALE-STUDIES
NBN	MSH6	0.019319754	Physical Interactions	IREF-SMALL-SCALE-STUDIES
NBN	RAD50	0.017846746	Physical Interactions	IREF-SMALL-SCALE-STUDIES
NBN	MRE11A	0.016702535	Physical Interactions	IREF-SMALL-SCALE-STUDIES
NBN	MSH2	0.014325125	Physical Interactions	IREF-SMALL-SCALE-STUDIES
NBN	MLH1	0.0047936067	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51B	XRCC2	0.17414607	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51B	RAD51	0.029354196	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51B	RAD51C	0.12738834	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RAD51B	RAD51D	0.10189332	Physical Interactions	IREF-SMALL-SCALE-STUDIES
FEN1	PCNA	0.0095494175	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MUTYH	MSH6	0.07815269	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MUTYH	MSH2	0.057948306	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MUTYH	PCNA	0.017595872	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BRCA2	DMC1	0.05855118	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BRCA2	XRCC3	0.04725976	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BRCA2	RAD51	0.010080568	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BRCA2	PMS2	0.015785791	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	XRCC2	0.050937664	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	MSH6	0.017567614	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	RAD50	0.016228197	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	MRE11A	0.015187755	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	MSH2	0.013025957	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	RAD51	0.008586092	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	MLH1	0.0043588667	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	RAD51D	0.029803758	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	NBN	0.010733067	Physical Interactions	IREF-SMALL-SCALE-STUDIES
BLM	FEN1	0.02356309	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PALB2	RAD51AP1	0.243305	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PALB2	XRCC3	0.115931794	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PALB2	RAD51	0.0247284	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PALB2	RAD51C	0.10731378	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PALB2	BRCA2	0.033000845	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH4	RAD51	0.022361385	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH4	MLH1	0.011352114	Physical Interactions	IREF-SMALL-SCALE-STUDIES
LIG1	MRE11A	0.17763829	Physical Interactions	IREF-SMALL-SCALE-STUDIES
LIG1	PCNA	0.046261813	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	MSH6	0.03068776	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	RAD50	0.028348016	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	MRE11A	0.026530534	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	MSH2	0.022754222	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	MLH1	0.0076142293	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	PCNA	0.0069092684	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	NBN	0.01874892	Physical Interactions	IREF-SMALL-SCALE-STUDIES
RFC1	BLM	0.01704855	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS1	MSH6	0.019523676	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS1	MSH2	0.014476327	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS1	MLH1	0.0048442036	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS1	BRCA2	0.012734249	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PMS1	RFC1	0.018946817	Physical Interactions	IREF-SMALL-SCALE-STUDIES
SWSAP1	XRCC3	0.19266729	Physical Interactions	IREF-SMALL-SCALE-STUDIES
SWSAP1	RAD51	0.04109618	Physical Interactions	IREF-SMALL-SCALE-STUDIES
SWSAP1	RAD51C	0.178345	Physical Interactions	IREF-SMALL-SCALE-STUDIES
SWSAP1	RAD51D	0.1426517	Physical Interactions	IREF-SMALL-SCALE-STUDIES
SWSAP1	RAD51B	0.15970396	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MSH5	MSH4	0.26622796	Physical Interactions	IREF-SMALL-SCALE-STUDIES
MBD4	MLH1	0.027701538	Physical Interactions	IREF-SMALL-SCALE-STUDIES
DMC1	RAD54B	1	Physical Interactions	IREF-BIND
MRE11A	RAD50	0.46430477	Physical Interactions	IREF-BIND
MSH2	MSH6	0.41131777	Physical Interactions	IREF-BIND
RAD51	XRCC2	0.595631	Physical Interactions	IREF-BIND
PCNA	MSH6	0.07210962	Physical Interactions	IREF-BIND
PMS2	MLH1	0.48778233	Physical Interactions	IREF-BIND
NBN	RAD50	0.26327178	Physical Interactions	IREF-BIND
NBN	MRE11A	0.24446163	Physical Interactions	IREF-BIND
FEN1	PCNA	0.18266796	Physical Interactions	IREF-BIND
MUTYH	MSH6	0.28157058	Physical Interactions	IREF-BIND
MUTYH	PCNA	0.05927054	Physical Interactions	IREF-BIND
BLM	RAD51	0.19242227	Physical Interactions	IREF-BIND
BLM	MLH1	0.16377243	Physical Interactions	IREF-BIND
MSH4	MLH1	0.2208468	Physical Interactions	IREF-BIND
LIG1	PCNA	0.26682594	Physical Interactions	IREF-BIND
PMS1	MLH1	0.48778233	Physical Interactions	IREF-BIND
MSH5	MSH4	0.8426755	Physical Interactions	IREF-BIND
MBD4	MLH1	0.3079064	Physical Interactions	IREF-BIND
DMC1	RAD51AP1	0.42546147	Physical Interactions	IREF-INTACT
MRE11A	RAD50	0.19123927	Physical Interactions	IREF-INTACT
MSH2	MSH6	0.08636145	Physical Interactions	IREF-INTACT
RAD51	RAD51AP1	0.09605925	Physical Interactions	IREF-INTACT
RAD51	DMC1	0.0406	Physical Interactions	IREF-INTACT
RAD51	XRCC3	0.018612348	Physical Interactions	IREF-INTACT
MLH1	MSH2	0.008085021	Physical Interactions	IREF-INTACT
PMS2	MLH1	0.018421477	Physical Interactions	IREF-INTACT
RAD51C	XRCC2	0.13099061	Physical Interactions	IREF-INTACT
RAD51C	XRCC3	0.057443526	Physical Interactions	IREF-INTACT
RAD51C	RAD51	0.028290777	Physical Interactions	IREF-INTACT
RAD51D	XRCC2	0.09119365	Physical Interactions	IREF-INTACT
RAD51D	RAD51	0.019695604	Physical Interactions	IREF-INTACT
RAD51D	RAD51C	0.060786795	Physical Interactions	IREF-INTACT
MSH3	MSH2	0.19286792	Physical Interactions	IREF-INTACT
MSH3	MLH1	0.05607528	Physical Interactions	IREF-INTACT
MSH3	PCNA	0.12923387	Physical Interactions	IREF-INTACT
NBN	RAD50	0.13766965	Physical Interactions	IREF-INTACT
NBN	MRE11A	0.08680365	Physical Interactions	IREF-INTACT
RAD51B	RAD51C	0.12150773	Physical Interactions	IREF-INTACT
RAD51B	RAD51D	0.08459181	Physical Interactions	IREF-INTACT
FEN1	PCNA	0.053667877	Physical Interactions	IREF-INTACT
BRCA2	DMC1	0.112390414	Physical Interactions	IREF-INTACT
BRCA2	RAD51	0.025375128	Physical Interactions	IREF-INTACT
BLM	XRCC2	0.12564608	Physical Interactions	IREF-INTACT
BLM	RAD51D	0.05830664	Physical Interactions	IREF-INTACT
BLM	FEN1	0.13613331	Physical Interactions	IREF-INTACT
PALB2	XRCC3	0.033314746	Physical Interactions	IREF-INTACT
PALB2	RAD51	0.01640742	Physical Interactions	IREF-INTACT
PALB2	RAD51C	0.050638426	Physical Interactions	IREF-INTACT
PALB2	BRCA2	0.045419626	Physical Interactions	IREF-INTACT
SWSAP1	XRCC3	0.09174391	Physical Interactions	IREF-INTACT
SWSAP1	RAD51	0.045183625	Physical Interactions	IREF-INTACT
SWSAP1	RAD51C	0.13945079	Physical Interactions	IREF-INTACT
SWSAP1	RAD51D	0.097083494	Physical Interactions	IREF-INTACT
SWSAP1	RAD51B	0.1940618	Physical Interactions	IREF-INTACT
MSH5	MSH4	0.8372087	Physical Interactions	IREF-INTACT
MRE11A	DMC1	0.8716346	Predicted	I2D-Krogan-Greenblatt-2006-Core-Yeast2Human
MSH2	MSH6	0.7341317	Predicted	I2D-Krogan-Greenblatt-2006-Core-Yeast2Human
FEN1	PCNA	0.77605367	Predicted	I2D-Krogan-Greenblatt-2006-Core-Yeast2Human
MED6	RAD51	0.6725959	Predicted	I2D-Krogan-Greenblatt-2006-Core-Yeast2Human
DMC1	RAD54B	0.17856582	Predicted	Wu-Stein-2010
RAD50	MSH6	0.06701573	Predicted	Wu-Stein-2010
MRE11A	MSH6	0.06384289	Predicted	Wu-Stein-2010
MSH2	MSH6	0.044356138	Predicted	Wu-Stein-2010
MSH2	RAD50	0.050557744	Predicted	Wu-Stein-2010
MSH2	MRE11A	0.048164107	Predicted	Wu-Stein-2010
RAD51	RAD51AP1	0.31413132	Predicted	Wu-Stein-2010
RAD51	RAD54B	0.09693499	Predicted	Wu-Stein-2010
